Radio Nueva Esparta 920 AM,"Nueva
Esparta","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Guachirongo en el dial,Lara,Local,Radio,Privado,Diaria,Oficialista
Tal Cual Digital,Distrito,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Política, economía, sucesos, cultura,
deportes, internacionales, opinión"
Éxitos,Zulia,Estadal,Radio,Privado,Diaria,Centro de Noticias Unión Radio
Rumba 104.3 FM,"Nueva
Esparta",Nacional,Radio,Privado,Diaria,Cultura y Entretenimiento
La Voz Gayona de Pavia,Lara,Local,Radio,Estatal,Diaria,Oficialista
Editorial El Oriental,Monagas,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Todas: comunidad,salud,política,
educación, sucesos, economía,
espectáculos"
Ranking,Distrito,Municipal,Radio,Privado,Diaria,"Nacionales, internacionales,
actualidad, entretenimiento, cultura,
deportes"
Energía,Guárico,Municipal,Radio,Privado,Diaria,"Política, deportes, cultura"
Galáctica (comunitaria,Zulia,Municipal,Radio,Privado,Diaria,No hay información
Soplo de vida,Guárico,Local,TV Cable,Privado,Diaria,"Religión, cultura, educación"
Notiredve,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Institucionales, Policial, GNB,
CCPC, Alcaldía, Gobernación, entre
otros"
OK 101 FM,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Venezuela 790 AM,Distrito,Nacional,Radio,Privado,Diaria,"Política, Deportes, Internacionales,
Nacionales"
"Radio Comunitaria La Voz del
Pastoreño",Lara,Local,Radio,Privado,Otra,Oficialista
Radio Nueva Esparta 920 AM,"Nueva
Esparta","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
Guachirongo en el dial,Lara,Local,Radio,Privado,Diaria,Oficialista
Tal Cual Digital,Distrito,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Política, economía, sucesos, cultura,
deportes, internacionales, opinión"
Éxitos,Zulia,Estadal,Radio,Privado,Diaria,Centro de Noticias Unión Radio
Rumba 104.3 FM,"Nueva
Esparta",Nacional,Radio,Privado,Diaria,Cultura y Entretenimiento
La Voz Gayona de Pavia,Lara,Local,Radio,Estatal,Diaria,Oficialista
Mix 106.1 FM,"Nueva
Esparta","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Entretenimiento
,Medio,Estado,Alcance,,Tipo,Naturaleza
Circuito Baila,,Distrito,Municipal,Radio,,Privado
,,,,,,
Reporte Confidencial,,Nueva,Global (web,Nativo Digital,,Privado
,,Esparta,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Espacial 106.9 FM,,Lara,Local,Radio,,Privado
Notiespartano,,Nueva,Global (web,Nativo Digital,,Privado
,,Esparta,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Caraota Digital,,Distrito,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Así es Margarita,,Nueva,Global (web,Nativo Digital,,Privado
,,Esparta,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
V+Tv,,Lara,Regional (varios,TV Cable,,Privado
,,,estados en,,,
,,,simultáneo,,,
UniTV,,Nueva,Estadal,TV (Señal analógica,,Privado
,,Esparta,,,,
Nueva Prensa de Guayana,,Bolívar,Municipal/Global,Tradicional/Digital,,Privado
,,,(web,,,
Corporación El Periódico de,,Monagas,Global (web,Versión Digital,,Privado
Monagas,,,,"(Periódico, tv o radio,",,
,,,,que,,
Primicia,,Bolívar,Global (web,Versión Digital,,Privado
,,,,"(Periódico, tv o radio,",,
,,,,que,,
Líder 97.9 F.M,,Cojedes,Estadal,Radio,,Privado
Circuito Baila,Distrito,Municipal,Radio,Privado,Diaria,"Actualidad, entretenimiento, música,"
,,,,,,tendencias
Reporte Confidencial,Nueva,Global (web,Nativo Digital,Privado,Diaria,"Política, Economía, Deportes,"
,Esparta,,(Transmitido,,,"Turismo, salud, Entretenimiento y"
,,,exclusivamente vía,,,Tecnología
,,,web,,,
Espacial 106.9 FM,Lara,Local,Radio,Privado,Otra,No se suministró información
Notiespartano,Nueva,Global (web,Nativo Digital,Privado,Diaria,"Política, Economía, Deportes,"
,Esparta,,(Transmitido,,,"Turismo, salud, Entretenimiento y"
,,,exclusivamente vía,,,Tecnología
,,,web,,,
Caraota Digital,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Política, laboral, comunidad, salud,"
,,,(Transmitido,,,"sucesos, educación, deportes"
,,,exclusivamente vía,,,
,,,web,,,
Así es Margarita,Nueva,Global (web,Nativo Digital,Privado,Diaria,"Política, Economía, Deportes,"
,Esparta,,(Transmitido,,,"Turismo, salud, Entretenimiento y"
,,,exclusivamente vía,,,Tecnología
,,,web,,,
V+Tv,Lara,Regional (varios,TV Cable,Privado,Diaria,Todas las fuentes informativas
,,estados en,,,,
,,simultáneo,,,,
UniTV,Nueva,Estadal,TV (Señal analógica,Privado,Diaria,"Política, Economía, Salud, Deportes"
,Esparta,,,,,y Entretenimiento
Nueva Prensa de Guayana,Bolívar,Municipal/Global,Tradicional/Digital,Privado,Diaria,"Política, Laboral, Ciudad, sucesos,"
,,(web,,,,deportes
Corporación El Periódico de,Monagas,Global (web,Versión Digital,Privado,Diaria,Todas las fuentes informativas
Monagas,,,"(Periódico, tv o radio,",,,
,,,que,,,
Primicia,Bolívar,Global (web,Versión Digital,Privado,Diaria,"Política, Ciudad, economía, laboral,"
,,,"(Periódico, tv o radio,",,,"deportes, sucesos"
,,,que,,,
Líder 97.9 F.M,Cojedes,Estadal,Radio,Privado,Diaria,Fuente gubernamental
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Pentagrama,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral, ciudad, Nacional,
internacional, salud"
Enlace,Guárico,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Opinión, comunidad, deportes,
educación, sucesos, cultura, salud"
Radio Ideal 104.1 FM,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Dinámica,Guárico,Municipal,Radio,Privado,Diaria,"Religión, entretenimiento, cultural"
Pastoreña 89.7 F.M,Cojedes,Estadal,Radio,Privado,Diaria,"Religión, informativa"
Auténtica,Guárico,Municipal,Radio,Privado,Diaria,"Folclore, cultura, educación, opinión"
Invicta 93.9 F.M,Cojedes,Estadal,Radio,Estatal,Diaria,Fuente Gubernamental
Deportiva,Guárico,Municipal,Radio,Privado,Diaria,"Deportes, entretenimiento"
Spazio,Aragua,Local,Radio,Privado,Ocasional,Hechos de acontecer nacional
Click 101.1 FM,Guárico,Local,Radio,Privado,Diaria,"Gestión de gobierno,
entretenimiento, cultura, deportes"
Las Noticias de Cojedes Web,Cojedes,Estadal,Periódico (Impreso,Privado,Ocasional,"Noticias locales, regionales,
nacionales e internacional"
Mega Latina,Guárico,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes, salud,
cultura, educación, política,
economía"
El Periódico del Delta,"Delta
Amacuro",Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,Variedad
Notiexpres 24,Guárico,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Cultura, política, gestión de
gobierno, economía, educación,
deportes"
Chévere FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Música, entretenimiento, opinión"
Pentagrama,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral, ciudad, Nacional,
internacional, salud"
Enlace,Guárico,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Opinión, comunidad, deportes,
educación, sucesos, cultura, salud"
Radio Ideal 104.1 FM,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Dinámica,Guárico,Municipal,Radio,Privado,Diaria,"Religión, entretenimiento, cultural"
Pastoreña 89.7 F.M,Cojedes,Estadal,Radio,Privado,Diaria,"Religión, informativa"
Auténtica,Guárico,Municipal,Radio,Privado,Diaria,"Folclore, cultura, educación, opinión"
Invicta 93.9 F.M,Cojedes,Estadal,Radio,Estatal,Diaria,Fuente Gubernamental
Deportiva,Guárico,Municipal,Radio,Privado,Diaria,"Deportes, entretenimiento"
Spazio,Aragua,Local,Radio,Privado,Ocasional,Hechos de acontecer nacional
Click 101.1 FM,Guárico,Local,Radio,Privado,Diaria,"Gestión de gobierno,
entretenimiento, cultura, deportes"
Las Noticias de Cojedes Web,Cojedes,Estadal,Periódico (Impreso,Privado,Ocasional,"Noticias locales, regionales,
nacionales e internacional"
Mega Latina,Guárico,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes, salud,
cultura, educación, política,
economía"
El Periódico del Delta,"Delta
Amacuro",Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,Variedad
Notiexpres 24,Guárico,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Cultura, política, gestión de
gobierno, economía, educación,
deportes"
Chévere FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Música, entretenimiento, opinión"
Grupo Talento C.A,Guárico,Municipal,Radio,Privado,Diaria,"Comunidad, política, economía,
cultura, deportes, entretenimiento"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
TV Delta,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, noticias locales de medios
digitales en parte de su
programación"
Tremenda,Guárico,Local,Radio,Privado,Diaria,Entretenimiento
Plenitud,"Delta
Amacuro",Local,Radio,Privado,Diaria,Religión
Radio Resplandor,Lara,Local,Radio,Privado,Otra,Religión
Sureña del Delta,"Delta
Amacuro",Estadal,Radio,Privado,Diaria,"Variedad, actualidad de medios
digitales locales"
Furia 107.1 FM,Lara,Local,Radio,Privado,Diaria,Todas las fuentes informativas
OK 104.9 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Noticias oficiales nacional y noticias
locales de medios digitales"
Radio Terepaima,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Fe y Alegría,"Delta
Amacuro",Nacional,Radio,Privado,Diaria,"Variado, aunque con énfasis en los
derechos humanos y poblaciones
sociales"
Radio Comunitaria Sisal 102.9 FM,Lara,Local,Radio,Privado,Diaria,Oficialista
Orinoco 92.9 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Oficial, redes sociales y medios
digitales locales"
Fortaleza 102.7 FM,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Guarachera 96.1,Cojedes,Estadal,Radio,Privado,Diaria,Música
Radio Participativa FM,Lara,Local,Radio,Privado,Diaria,Oficialista
Cadena Digital,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,"Música, actualidad"
Radio La Verdad,Lara,Municipal,Radio,Privado,Ocasional,Religión
TV Delta,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, noticias locales de medios
digitales en parte de su
programación"
Tremenda,Guárico,Local,Radio,Privado,Diaria,Entretenimiento
Plenitud,"Delta
Amacuro",Local,Radio,Privado,Diaria,Religión
Radio Resplandor,Lara,Local,Radio,Privado,Otra,Religión
Sureña del Delta,"Delta
Amacuro",Estadal,Radio,Privado,Diaria,"Variedad, actualidad de medios
digitales locales"
Furia 107.1 FM,Lara,Local,Radio,Privado,Diaria,Todas las fuentes informativas
OK 104.9 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Noticias oficiales nacional y noticias
locales de medios digitales"
Radio Terepaima,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Fe y Alegría,"Delta
Amacuro",Nacional,Radio,Privado,Diaria,"Variado, aunque con énfasis en los
derechos humanos y poblaciones
sociales"
Radio Comunitaria Sisal 102.9 FM,Lara,Local,Radio,Privado,Diaria,Oficialista
Orinoco 92.9 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Oficial, redes sociales y medios
digitales locales"
Fortaleza 102.7 FM,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Guarachera 96.1,Cojedes,Estadal,Radio,Privado,Diaria,Música
Radio Participativa FM,Lara,Local,Radio,Privado,Diaria,Oficialista
Cadena Digital,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,"Música, actualidad"
Radio La Verdad,Lara,Municipal,Radio,Privado,Ocasional,Religión
La 96.9 &quot;La Mejor Radio,Cojedes,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Ámbito local, regional, nacional e
internacional"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
"Tovareña de Televisión Comunitaria y
Educativa",Mérida,Municipal,TV Cable,Privado,Diaria,Todas las fuentes informativas
Yaracuy al Día,Yaracuy,Estadal,Periódico (Impreso,Privado,Diaria,"Opinión, Política, Cultura,
Comunidad, Sucesos, Deporte,
Farándula"
Rumba plus 88.7 FM,Mérida,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Formula Estereo 92.3 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,recreativa
Radio Fe y Alegría,Mérida,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Cinema Paraíso TV C.A,Trujillo,"Regional (varios
estados en
simultáneo",TV Cable,Privado,Diaria,"Política, Economía, Comunidad,
Religión, Cultura, Deporte, Sucesos"
Versión Final,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Todas las fuentes: Local, regional,
nacional, internacional, comunidad"
Palmarejo 93.9 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,Fuente gubernamental
Onda,Zulia,Estadal,Radio,Privado,Diaria,Centro de Noticias Unión Radio
Hispana,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento"
Pico Suárez Canal Informativo,Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Contenido local: principalmente el
Zulia y luego municipios que
conforman"
Viva 93.3 FM,Cojedes,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Noticias municipales, regionales,
nacionales e internacionales"
Circuito Líder,Distrito,Estadal,Radio,Privado,Diaria,"Actualidad, deportes, moda, música,
entretenimiento"
Yaracuyana de Televisión C.A,Yaracuy,Municipal,TV Cable,Privado,Diaria,"Opinión, Política, Deporte,
Entretenimiento"
Tamanaco Estereo 91.5 F.M,Cojedes,Local,Radio,Estatal,Diaria,No se suministró información
"Tovareña de Televisión Comunitaria y
Educativa",Mérida,Municipal,TV Cable,Privado,Diaria,Todas las fuentes informativas
Yaracuy al Día,Yaracuy,Estadal,Periódico (Impreso,Privado,Diaria,"Opinión, Política, Cultura,
Comunidad, Sucesos, Deporte,
Farándula"
Rumba plus 88.7 FM,Mérida,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Formula Estereo 92.3 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,recreativa
Radio Fe y Alegría,Mérida,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Cinema Paraíso TV C.A,Trujillo,"Regional (varios
estados en
simultáneo",TV Cable,Privado,Diaria,"Política, Economía, Comunidad,
Religión, Cultura, Deporte, Sucesos"
Versión Final,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Todas las fuentes: Local, regional,
nacional, internacional, comunidad"
Palmarejo 93.9 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,Fuente gubernamental
Onda,Zulia,Estadal,Radio,Privado,Diaria,Centro de Noticias Unión Radio
Hispana,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento"
Pico Suárez Canal Informativo,Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Contenido local: principalmente el
Zulia y luego municipios que
conforman"
Viva 93.3 FM,Cojedes,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Noticias municipales, regionales,
nacionales e internacionales"
Circuito Líder,Distrito,Estadal,Radio,Privado,Diaria,"Actualidad, deportes, moda, música,
entretenimiento"
Yaracuyana de Televisión C.A,Yaracuy,Municipal,TV Cable,Privado,Diaria,"Opinión, Política, Deporte,
Entretenimiento"
Tamanaco Estereo 91.5 F.M,Cojedes,Local,Radio,Estatal,Diaria,No se suministró información
Decibel CA,Trujillo,Estadal,Radio,Privado,Ocasional,"Deporte (radio totalmente nueva no
ha iniciado programación fija"
,Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad
Canal I,,Distrito,Regional (varios,TV (Señal analógica,Privado,Diaria
,,,estados en,,,
,,,simultáneo,,,
El Sin Cobija,,Mérida,Global (web,Nativo Digital,Privado,Mensual
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Cosmos (Comunitaria,,Yaracuy,Estadal,Radio,Estatal,Diaria
La Romántica,,Táchira,Estadal,Radio,Privado,Diaria
,,,,,,
Urbana,,Yaracuy,Estadal,Radio,Privado,Diaria
,,,,,,
La Prensa Táchira,,Táchira,Global (web,Nativo Digital,Privado,Diaria
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
La Noticia Al Instante,,Zulia,Nacional,Otro,Privado,Diaria
,,,,,,
,,,,,,
Analítica.com,,Distrito,Global (web,Nativo Digital,Privado,Diaria
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Instituto Radiofónico Fe y Alegría,,Zulia,Municipal,Radio,Privado,Diaria
Machiques 105.5 FM,,,,,,
Alba TV,,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria
,,,,,,
Radio Libertad 107.3 F.M,,Cojedes,Local,Radio,Privado,Diaria
Alba Ciudad,,Distrito,Estadal,Radio,Estatal,Diaria
,,,,,,
Tane tanae,,Delta,Global (web,Versión Digital,Privado,Diaria
Canal I,Distrito,Regional (varios,TV (Señal analógica,Privado,Diaria,"Nacionales, internacionales, moda,"
,,estados en,,,,"tendencia, deportes, salud, música"
,,simultáneo,,,,
El Sin Cobija,Mérida,Global (web,Nativo Digital,Privado,Mensual,Todas las fuentes informativas
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Cosmos (Comunitaria,Yaracuy,Estadal,Radio,Estatal,Diaria,"Opinión, Política, Entretenimiento"
La Romántica,Táchira,Estadal,Radio,Privado,Diaria,"Regional, tráfico, combustible,"
,,,,,,información general
Urbana,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento,"
,,,,,,Deporte
La Prensa Táchira,Táchira,Global (web,Nativo Digital,Privado,Diaria,"Nacionales, locales, internacionales,"
,,,(Transmitido,,,"frontera, sucesos"
,,,exclusivamente vía,,,
,,,web,,,
La Noticia Al Instante,Zulia,Nacional,Otro,Privado,Diaria,Por un grupo de colegas que le
,,,,,,acompañan y cuando ellos tienen la
,,,,,,noticia
Analítica.com,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Nacional, internacional, economía,"
,,,(Transmitido,,,"deportes, trendy"
,,,exclusivamente vía,,,
,,,web,,,
Instituto Radiofónico Fe y Alegría,Zulia,Municipal,Radio,Privado,Diaria,Fuentes propias
Machiques 105.5 FM,,,,,,
Alba TV,Distrito,Nacional,TV (Señal analógica,Estatal,Diaria,"Política, opinión, nacionales,"
,,,,,,internacionales
Radio Libertad 107.3 F.M,Cojedes,Local,Radio,Privado,Diaria,Religión
Alba Ciudad,Distrito,Estadal,Radio,Estatal,Diaria,"Nacionales, internacionales, política,"
,,,,,,"opinión, actualidad, cultura"
Tane tanae,Delta,Global (web,Versión Digital,Privado,Diaria,"Variedad, indígenas, derechos"
,Amacuro,,"(Periódico, tv o radio,",,,"humanos, denuncias"
,,,que,,,
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
"Dirección General de Medios de
Comunicación ULA",Mérida,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Estatal,Diaria,"Información institucional.
Incorpora información del acontecer
nacional"
Tucupita TV,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, entretenimiento, noticias
gubernamentales"
107.7 ULA FM,Mérida,"Estadal/Global
(web",Tradicional/Digital,Estatal,Diaria,Todas las fuentes informativas
Kaina TV,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, derechos humanos,
denuncias, oficial"
Radio Yaracuy C.A,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento,
Deportes"
Río,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Variedad , actualidad de medios
digitales locales"
Adulto Joven 88.0 FM,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Tráfico, Nacionales"
Ritmo FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Farándula, entretenimiento"
Fiesta Latina,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,"Actualidad, entretenimiento"
Caliente FM,"Delta
Amacuro","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Variedad, noticias varias de portales
digitales locales"
Radio Mix 98.3 FM,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Entretenimiento"
Oceánica 98.5 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Farándula nacional, internacional y
actualidad local"
"Dirección General de Medios de
Comunicación ULA",Mérida,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Estatal,Diaria,"Información institucional.
Incorpora información del acontecer
nacional"
Tucupita TV,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, entretenimiento, noticias
gubernamentales"
107.7 ULA FM,Mérida,"Estadal/Global
(web",Tradicional/Digital,Estatal,Diaria,Todas las fuentes informativas
Kaina TV,"Delta
Amacuro",Local,TV Cable,Privado,Diaria,"Variedad, derechos humanos,
denuncias, oficial"
Radio Yaracuy C.A,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento,
Deportes"
Río,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Variedad , actualidad de medios
digitales locales"
Adulto Joven 88.0 FM,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Tráfico, Nacionales"
Ritmo FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Farándula, entretenimiento"
Fiesta Latina,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,"Actualidad, entretenimiento"
Caliente FM,"Delta
Amacuro","Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Variedad, noticias varias de portales
digitales locales"
Radio Mix 98.3 FM,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Entretenimiento"
Oceánica 98.5 FM,"Delta
Amacuro",Local,Radio,Privado,Diaria,"Farándula nacional, internacional y
actualidad local"
Mérida Digital,Mérida,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Economía
Comunidad (Foto noticia)
Cultura/Espectáculo
Deportes
Sucesos"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
"Editorial Productora y Publicidad
QUÉ PASA C.A",Zulia,"Regional (varios
estados en
simultáneo",Periódico (Impreso,Privado,Semanal,Todas las fuentes informativas
123TV,Distrito,Local,TV (Señal analógica,Estatal,Diaria,"Cultura, educación, recreación,
animación, ciencia"
VIP 96.5 F.M,Cojedes,Municipal,Radio,Privado,Diaria,Música
Radio Sensación,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, nacionales,
internacionales"
Pachanga 99.7 F.M,Cojedes,Estadal,Radio,Privado,Diaria,"Local, regional, nacional e
internacional"
La Onda 88.7 FM,Barinas,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes,
tecnología e información general"
Radio Calidad 98.3 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,Fuente gubernamental
Radio Educativa,Distrito,Nacional,Radio,Privado,Diaria,"Educación, política, actualidad,
nacionales"
CNB Merideña,Mérida,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Radio Capital,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Política, economía, deportes, cultura"
Palpitar Trujillano,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, Economía, Comunidad,
Religión, Cultura, Deporte, Sucesos"
Cheverísima 97.1 FM,Mérida,Estadal,Radio,Privado,Diaria,"Transmite música juvenil
contemporánea de las décadas 80 y
90, al igual que"
"Editorial Productora y Publicidad
QUÉ PASA C.A",Zulia,"Regional (varios
estados en
simultáneo",Periódico (Impreso,Privado,Semanal,Todas las fuentes informativas
123TV,Distrito,Local,TV (Señal analógica,Estatal,Diaria,"Cultura, educación, recreación,
animación, ciencia"
VIP 96.5 F.M,Cojedes,Municipal,Radio,Privado,Diaria,Música
Radio Sensación,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, nacionales,
internacionales"
Pachanga 99.7 F.M,Cojedes,Estadal,Radio,Privado,Diaria,"Local, regional, nacional e
internacional"
La Onda 88.7 FM,Barinas,Municipal,Radio,Privado,Diaria,"Entretenimiento, deportes,
tecnología e información general"
Radio Calidad 98.3 F.M,Cojedes,Municipal,Radio,Estatal,Diaria,Fuente gubernamental
Radio Educativa,Distrito,Nacional,Radio,Privado,Diaria,"Educación, política, actualidad,
nacionales"
CNB Merideña,Mérida,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Radio Capital,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Política, economía, deportes, cultura"
Palpitar Trujillano,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, Economía, Comunidad,
Religión, Cultura, Deporte, Sucesos"
Cheverísima 97.1 FM,Mérida,Estadal,Radio,Privado,Diaria,"Transmite música juvenil
contemporánea de las décadas 80 y
90, al igual que"
Noticias Momoy,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Economía, política, espectáculo,
salud, región, comunidad, sucesos"
Medio,Estado,Alcance,,Tipo,Naturaleza,Periodicidad
La Popular (Popular origenes,Aragua,Local,Radio,,Privado,Diaria
,,,,,,
,,,,,,
Agencia Cojedeña de Investigación,Cojedes,Estadal/Global,Tradicional/Digital,,Privado,Diaria
,,(web,,,,
,,,,,,
Favorita 98.7 FM,Mérida,Regional (varios,Radio,,Privado,Semanal
,,estados en,,,,
,,simultáneo,,,,
Radio Única 99.9 FM,Trujillo,Regional (varios,Radio,,Privado,Diaria
,,estados en,,,,
,,simultáneo,,,,
Planeta,Distrito,Municipal,Radio,,Privado,Ocasional
Radio simpatia CA-Mas Network,Trujillo,Regional (varios,Radio,,Privado,Diaria
101.1 FM,,estados en,,,,
,,simultáneo,,,,
Suena 101.7,Monagas,Estadal,Radio,,Privado,Diaria
Radio base paz y vida 103/1FM,Trujillo,Estadal,Radio,,Estatal,Diaria
,,,,,,
0800 Flor,Miranda,Nacional/Global,Tradicional/Digital,,Privado,Diaria
,,(web,,,,
Magia Producciones C.A,Mérida,Municipal,Radio,,Privado,Otra
Pacífica 90.7 FM,Distrito,Estadal,Radio,,Privado,Diaria
,,,,,,
BBN Radio,Distrito,Regional (varios,Radio,,Privado,Ocasional
,,estados en,,,,
,,simultáneo,,,,
Musik,Distrito,Regional (varios,Radio,,Privado,Diaria
,,estados en,,,,
,,simultáneo,,,,
Class 98.7 FM,Cojedes,Regional (varios,Radio,,Privado,Diaria
La Popular (Popular origenes,Aragua,Local,Radio,Privado,Diaria,Información de hechos acontecidos
,,,,,,"en la localidad de San Mateo, y"
,,,,,,resalta
